id,state,created_date,modified_date,deleted_date,nombre,genero,sinopsis,emision,fecha_salida,image,promedio_puntuaciones,categoria,color,cantidad_episodios,link_imdb,promedio_puntuaciones_imdb
17,1,2023-10-08,2024-07-07,2024-07-07,Akatsuki no Yona,"1,2,5,12,32,37","After being betrayed and run out of her home, the red-haired Princess Yona searches for four legendary dragons to take back her stolen kingdom.",0,2014-04-01,portada/2022/01/11/Akatsuki_no_Yona_MID.png,7.0,1,5,25,https://www.imdb.com/title/tt3957196/,8.0
18,1,2023-10-08,2024-07-07,2024-07-07,Akiba Maid Sensou,"1,5","Akihabara is the center of the universe for the coolest hobbies and quirkiest amusements. In the spring of 1999, bright-eyed Nagomi Wahira moves there with dreams of joining a maid café. She quickly dons an apron at café Ton Tokoton, AKA the Pig Hut. But adjusting to life in bust...",0,2022-10-06,portada/2023/05/10/Akiba_Maid_Sensou_MID.jpg,7.7,1,8,12,https://www.imdb.com/title/tt21929358/,7.3
19,1,2023-10-08,2024-07-07,2024-07-07,Akudama Drive,"1,35","Long ago, a war broke out in Japan that pitted Kantou against Kansai and divided the country. Kansai became dependent on Kantou, but slowly the police and government began losing control of Kansai to criminals known as Akudama.",0,2020-10-01,portada/2022/01/11/Akudama_Drive_MID.jpg,6.7,1,8,12,https://www.imdb.com/title/tt12331342/,7.3
20,1,2023-10-08,2024-07-07,2024-07-07,Akuma no Riddle,"1,34,49","Tokaku Azuma has just transferred to the elite Myoujou Academy, a private girls' boarding school. But there's a catch: she, along with 11 of her fellow students in Class Black, is an assassin taking part in the challenge to kill their sweet-natured classmate, Haru Ichinose. Whoev...",0,2014-04-01,portada/2022/01/11/Akuma_no_Riddle_MID.png,6.2,1,8,13,https://www.imdb.com/title/tt3396572/,6.3
21,1,2023-10-08,2024-07-07,2024-07-07,Aldnoah Zero,"1,23,35","In 1972, an ancient alien hypergate was discovered on the surface of the moon. Using this technology, humanity began migrating to Mars and settling there.",0,2014-07-01,portada/2022/01/11/Aldnoah_Zero_MID.jpg,6.6,1,5,24,https://www.imdb.com/title/tt3544556/,7.1
22,1,2023-10-08,2024-07-07,2024-07-07,Allison And Lillia,"1,2,38","Follows a young woman then, later, her daughter as they get caught up in political intrigue, assassination attempts, war ending adventures and their own romantic involvements.",0,2008-04-01,portada/2022/01/11/Allison_And_Lillia_MID.png,6.8,1,5,26,https://www.imdb.com/title/tt1215542/,7.6
23,1,2023-10-08,2024-07-07,2024-07-07,Amagami SS,"5,20,32,34","High school student Junichi Tachibana attempts to find love once again after having his heart broken last Christmas. This series follows his romantic endeavors in a sequence of six separate arcs, each involving a different heroine.",0,2010-07-01,portada/2022/01/11/Amagami_SS_MID.jpg,6.3,1,6,38,https://www.imdb.com/title/tt1685397/,6.9
24,1,2023-10-08,2024-07-07,2024-07-07,Amagi Brilliant Park,"5,32","The film is set in an amusement park in the Tokyo suburbs of Japan, with a princess at the center of the story.",0,2014-10-01,portada/2022/01/11/Amagi_Brilliant_Park_MID.jpg,5.5,1,8,14,https://www.imdb.com/title/tt3950084/,7.0
25,1,2023-10-08,2024-07-07,2024-07-07,Amatsuki,"1,12,17,37,43","Tokidoki Rikugou is a history-hating student who flunks out of his Japanese History course; his high school forces him to make up for his failed grade by attending a special museum lecture. Its star exhibit, a vast recreation of the Edo Period, promises to alleviate the delinquent student's poor grades with an elaborate simulation of the Tokugawa Shogunate: the Edo Bakumatsu Walking Tour and Exhibition.",0,2008-04-01,portada/2022/01/11/Amatsuki_MID.png,5.2,1,8,13,https://www.imdb.com/title/tt1201681/,6.3
26,1,2023-10-08,2024-07-07,2024-07-07,Angel Beats!,"1,5,9,34,43",Rebellious teens fight in armed combat against one dispassionate girl's supernatural powers in an afterlife high school.,0,2010-03-01,portada/2023/10/10/Angel_Beats.jpg,6.8,1,8,15,https://www.imdb.com/title/tt1639109/,7.6
